VacationHomeID,VacHomeClass,VacHomeZone,VacHomeLotFrontage,VacHomeLotSqFt,VacHomeStreet,VacHomeRoad,VacHomeLotShape,VacHomeLandContour,VacHomeUtilities,VacHomeLotConfig,VacHomeLandSlope,VacHomeNeighborhood,VacHomeCondition,VacHomeBuilding,VacHomeHouseStyle,VacHomeRating,VacHomeQuality,VacHomeConsYear,VacHomeSince,VacHomeRoofStyle,VacHomeRoofMat,VacHomeExterior,VacHomeMasonryVeneer,VacHomeMasonryArea,VacHomeExterQual,VacHomeQual,VacHomeFoundation,VacHomeBsmtQuality,VacHomeBsmtLight,VacHomeBsmtFinish,VacHomeBsmtSqFt,VacHomeHeating,VacHomeHeatingQuality,VacHomeAC,VacHomeElectricalWiring,VacHomeFloor1SqFt,VacHomeFloor2SqFt,VacHomeSqFt,VacHomeNumFullBath,VacHomeNumHalfBath,VacHomeBedroomWithCloset,VacHomeKitcheninHome,VacHomeKitchenQuality,VacHomeRooms,VacHomeFireplaces,VacHomeFireplaceQuality,VacHomeGarageType,VacHomeGarageFinish,VacHomeCarsInGarage,VacHomeGarageArea,VacHomeGarageQuality,VacHomeDriveway,VacHomeWoodDeckSqFt,VacHomePorchSqFt,VacHomePoolSqFt,VacHomePoolQuality,VacHomeFence,VacHomeStartMonth,VacHomeStartYear,VacHomeSaleType,VacHomeSaleCondition,VacHomeSalePrice,VacHomeInterestInHome,VacHomeGoodSchools,VacHomeAvailableDate,VacHomeBarCode,VacHomeOwnerAddress,VacHomeOwnerCity,VacHomeOwnerCountry,VacHomeOwnerEmail,VacHomeOwnerGender,VacHomeOwnerState,VacHomeOwnerZipcode,VacHomeRenovationAmount,VacHomeSurveyDate,VacHomeSurveyRating,VacHomeReviewDate,VacHomeReviewRating
1,VacHomeClass-6,VacHomeZone-1,65.0,8450,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 6,Proximity to School,Apartment,Bungalow,7,5,2008,2009,Gable,Rolled Roofing,Board Batten,Natural Stone,196.0,4,3,Individual footing,4.0,No Sunlight,ZenWall Panels,856,Furnace,5,Yes,NM Cable,856,854,1710,2,1,3,1,4,8,0,,Attached,Wood Sheathing,2,548,3,Paved,0,0,0,0,No Fence,2,2008,Down payment assistance,Regular,173061.0,Y,Y,2021-11-24,78408012,"Jochen-Peukert-Straße 4/7
93824 Wolgast",Schwandorf,Venezuela,sylvester59@haase.de,M,Niedersachsen,41157,93.0,2021-11-24,4.6,2021-11-24,4.6
2,VacHomeClass-1,VacHomeZone-1,80.0,9600,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,T-intersection,No Slope,RNH 25,Proximity to Hospital,Apartment,Contemporary,6,8,1977,1979,Gable,Rolled Roofing,Log Wood,Manmade Stone,0.0,3,3,Combined footing,4.0,French Doors,BrightWall Paneling,1262,Furnace,5,Yes,NM Cable,1262,0,1262,2,0,3,1,3,6,1,TA,Attached,Wood Sheathing,2,460,3,Paved,298,0,0,0,No Fence,5,2007,Down payment assistance,Regular,150651.0,N,Y,2021-10-03,23209473,"Henkweg 1
93328 Bremen",Hersbruck,Bolivien,tilman19@junck.org,F,Thüringen,84185,9.0,2021-01-16,3.8,2021-01-16,3.8
3,VacHomeClass-6,VacHomeZone-1,68.0,11250,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 6,Proximity to School,Apartment,Bungalow,7,5,2006,2008,Gable,Rolled Roofing,Board Batten,Natural Stone,162.0,4,3,Individual footing,4.0,Small Windows,ZenWall Panels,920,Furnace,5,Yes,NM Cable,920,866,1786,2,1,3,1,4,6,1,TA,Attached,Wood Sheathing,2,608,3,Paved,0,0,0,0,No Fence,9,2008,Down payment assistance,Regular,185511.0,Y,N,2021-09-21,12309894,"Mercedes-Butte-Allee 8/4
39694 Neustrelitz",Borken,Pakistan,erich35@kade.com,M,Rheinland-Pfalz,79533,88.0,2021-07-08,4.4,2021-07-08,4.4
4,VacHomeClass-7,VacHomeZone-1,60.0,9550,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,Corner lot,No Slope,RNH 7,Proximity to School,Apartment,Bungalow,7,5,1916,1975,Gable,Rolled Roofing,Wood Shingle,Manmade Stone,0.0,3,3,Strip foundation,3.0,No Sunlight,BrightWall Paneling,756,Furnace,4,Yes,NM Cable,961,756,1717,1,0,3,1,4,7,1,Gd,Detached,Metal Panels,3,642,3,Paved,0,0,0,0,No Fence,2,2006,Down payment assistance,Shortsale,116206.0,Y,N,2021-01-11,9163454,"Remo-Conradi-Ring 090
21730 Potsdam",Schwarzenberg,Thailand,burkardpaertzelt@googlemail.com,F,Brandenburg,13145,94.0,2021-07-05,3.9,2021-07-05,3.9
5,VacHomeClass-6,VacHomeZone-1,84.0,14260,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,T-intersection,No Slope,RNH 14,Proximity to School,Apartment,Bungalow,8,5,2001,2006,Gable,Rolled Roofing,Board Batten,Natural Stone,350.0,4,3,Individual footing,4.0,Large Windows,ZenWall Panels,1145,Furnace,5,Yes,NM Cable,1145,1053,2198,2,1,4,1,4,9,1,TA,Attached,Wood Sheathing,3,836,3,Paved,192,0,0,0,No Fence,12,2008,Down payment assistance,Regular,207506.0,Y,N,2021-11-22,84237590,"Lioba-Stiffel-Platz 58
19720 Sulzbach-Rosenberg",Reutlingen,Portugal,kaesterjoana@aol.de,F,Nordrhein-Westfalen,64280,37.0,2021-12-13,2.8,2021-12-13,2.8
6,VacHomeClass-5,VacHomeZone-1,85.0,14115,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 12,Proximity to School,Apartment,Craftsman,5,5,1994,2001,Gable,Rolled Roofing,Board Batten,Manmade Stone,0.0,3,3,Raft foundation,4.0,No Sunlight,ZenWall Panels,796,Furnace,5,Yes,NM Cable,796,566,1362,1,1,1,1,3,5,0,,Attached,Metal Panels,2,480,3,Paved,40,320,0,0,Vinyl Fences,10,2009,Down payment assistance,Regular,118696.0,Y,N,2021-08-18,754705,"Wellerstraße 093
23376 Backnang",Uffenheim,St. Kitts und Nevis,mrose@yahoo.de,F,Sachsen-Anhalt,27142,54.0,2021-02-24,3.2,2021-02-24,3.2
7,VacHomeClass-1,VacHomeZone-1,75.0,10084,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 22,Proximity to School,Apartment,Contemporary,8,5,2007,2010,Gable,Rolled Roofing,Board Batten,Manmade Panels,186.0,4,3,Individual footing,5.0,Large Windows,ZenWall Panels,1686,Furnace,5,Yes,NM Cable,1694,0,1694,2,0,3,1,4,7,1,Gd,Attached,Wood Sheathing,2,636,3,Paved,255,0,0,0,No Fence,8,2007,Down payment assistance,Regular,254816.0,Y,N,2021-08-02,85124004,"Rolf-Peter-Stoll-Straße 0
00891 Cloppenburg",Hannover,Samoa,qdrub@gmail.com,M,Niedersachsen,17610,6.0,2021-10-21,1.9,2021-10-21,1.9
8,VacHomeClass-6,VacHomeZone-1,,10382,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,Corner lot,No Slope,RNH 17,Proximity to Park,Apartment,Bungalow,7,6,1978,1976,Gable,Rolled Roofing,Horizontal Wood,Manmade Panels,240.0,3,3,Combined footing,4.0,Small Windows,BrightWall Paneling,1107,Furnace,5,Yes,NM Cable,1107,983,2090,2,1,3,1,3,7,2,TA,Attached,Wood Sheathing,2,484,3,Paved,235,0,0,0,No Fence,11,2009,Down payment assistance,Regular,166006.0,N,Y,2021-09-22,41730423,"Roskothallee 977
58236 Amberg",Duderstadt,Isle of Man,gottlob29@klingelhoefer.com,M,Niedersachsen,51590,67.0,2021-11-07,3.8,2021-11-07,3.8
9,VacHomeClass-5,VacHomeZone-2,51.0,6120,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 18,Proximity to Gym,Apartment,Craftsman,7,5,1934,1953,Gable,Rolled Roofing,Vertical Wood,Manmade Stone,0.0,3,3,Strip foundation,3.0,No Sunlight,Dry Wall,952,Furnace,4,Yes,Armored Cable,1022,752,1774,2,0,2,2,3,8,2,TA,Detached,Metal Panels,2,468,2,Paved,90,0,0,0,No Fence,4,2008,Down payment assistance,Shortsale,107823.0,Y,N,2021-04-28,77936158,"Lindaugasse 877
51717 Bad Kissingen",Holzminden,Vereinigtes Königreich,burkardkraushaar@dippel.org,Unknown,Bremen,96111,29.0,2021-10-01,2.4,2021-10-01,2.4
10,VacHomeClass-15,VacHomeZone-1,50.0,7420,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,Corner lot,No Slope,RNH 4,Proximity to Gym,Condo,Colonial,5,6,1944,1957,Gable,Rolled Roofing,Log Wood,Manmade Stone,0.0,3,3,Strip foundation,3.0,No Sunlight,ZenWall Panels,991,Furnace,5,Yes,NM Cable,1077,0,1077,1,0,2,2,3,5,2,TA,Attached,Wood Sheathing,1,205,4,Paved,0,0,0,0,No Fence,1,2008,Down payment assistance,Regular,97946.0,Y,Y,2021-08-16,68757731,"Ortwin-Drewes-Gasse 873
76430 Schwerin",Böblingen,Litauen,carlaladeck@web.de,Unknown,Hessen,58219,70.0,2021-02-08,1.5,2021-02-08,1.5
11,VacHomeClass-1,VacHomeZone-1,70.0,11200,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 20,Proximity to School,Apartment,Contemporary,5,5,1969,1971,Sawtooth,Rolled Roofing,Horizontal Wood,Manmade Stone,0.0,3,3,Combined footing,3.0,No Sunlight,Foamax,1040,Furnace,5,Yes,NM Cable,1040,0,1040,1,0,3,1,3,5,0,,Detached,Metal Panels,1,384,3,Paved,0,0,0,0,No Fence,2,2008,Down payment assistance,Regular,107491.0,Y,N,2021-01-04,89163481,"Beierstr. 49
69471 Osterburg",Berchtesgaden,Britisches Territorium im Indischen Ozean,gkoehler@reichmann.com,F,Mecklenburg-Vorpommern,40752,77.0,2021-07-03,1.5,2021-07-03,1.5
12,VacHomeClass-6,VacHomeZone-1,85.0,11924,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 16,Proximity to School,Apartment,Bungalow,9,5,2009,2015,Sawtooth,Rolled Roofing,Vinyl,Manmade Panels,286.0,5,3,Individual footing,5.0,No Sunlight,ZenWall Panels,1175,Furnace,5,Yes,NM Cable,1182,1142,2324,3,0,4,1,5,11,2,Gd,Breezeway,DryWall,3,736,3,Paved,147,0,0,0,No Fence,7,2006,Government-backed programs,Distress Sale,286356.0,Y,N,2021-11-17,91256096,"Miroslawa-Bärer-Allee 248
51744 Kronach",Beilngries,Pitcairn,ffaust@yahoo.de,F,Hamburg,34500,60.0,2021-06-18,3.9,2021-06-18,3.9
13,VacHomeClass-1,VacHomeZone-1,,12968,Cobblestone,Gravel,Rectangular,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 20,Proximity to School,Apartment,Contemporary,5,6,1967,1966,Sawtooth,Rolled Roofing,Horizontal Wood,Manmade Stone,0.0,3,3,Combined footing,3.0,No Sunlight,BrightWall Paneling,912,Furnace,3,Yes,NM Cable,912,0,912,1,0,2,1,3,4,0,,Detached,Metal Panels,1,352,3,Paved,140,0,0,0,No Fence,9,2008,Down payment assistance,Regular,119526.0,N,N,2021-06-28,30675377,"Zänkerplatz 099
51853 Neustadtner Waldnaab",Beeskow,Palau,poelitznatalja@yahoo.de,Unknown,Schleswig-Holstein,19426,46.0,2021-09-06,2.8,2021-09-06,2.8
14,VacHomeClass-1,VacHomeZone-1,91.0,10652,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 6,Proximity to School,Apartment,Contemporary,7,5,2010,2017,Gable,Rolled Roofing,Board Batten,Manmade Panels,306.0,4,3,Individual footing,4.0,Large Windows,Dry Wall,1494,Furnace,5,Yes,NM Cable,1494,0,1494,2,0,3,1,4,7,1,Gd,Attached,Wood Sheathing,3,840,3,Paved,160,0,0,0,No Fence,8,2007,Government-backed programs,Distress Sale,231991.0,Y,Y,2021-01-18,50552030,"Bauerstr. 31
84126 Borna",Lübben,Bermuda,ujunk@budig.com,Unknown,Berlin,20766,47.0,2021-07-05,4.8,2021-07-05,4.8
15,VacHomeClass-1,VacHomeZone-1,,10920,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,Corner lot,No Slope,NAmes,Proximity to School,Apartment,Contemporary,6,5,1964,1968,Sawtooth,Rolled Roofing,Log Wood,Natural Stone,212.0,3,3,Combined footing,3.0,No Sunlight,CleanSpace Wall System,1253,Furnace,3,Yes,NM Cable,1253,0,1253,1,1,2,1,3,5,1,Fa,Attached,Wood Sheathing,1,352,3,Paved,0,0,0,0,Wood Fences,5,2008,Down payment assistance,Regular,130316.0,Y,N,2021-08-20,89426227,"Hardy-Speer-Allee 045
93227 Nauen",Viersen,Britisches Territorium im Indischen Ozean,hans-eberhard91@aol.de,F,Niedersachsen,35574,29.0,2021-04-12,1.8,2021-04-12,1.8
16,VacHomeClass-4,VacHomeZone-2,51.0,6120,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,Corner lot,No Slope,RNH 4,Proximity to School,Apartment,Colonial,7,8,1931,2007,Gable,Rolled Roofing,Wood Shingle,Manmade Stone,0.0,3,3,Strip foundation,3.0,No Sunlight,Dry Wall,832,Furnace,5,Yes,Underground Feeder Cable,854,0,854,1,0,2,1,3,5,0,,Detached,Metal Panels,2,576,3,Paved,48,0,0,0,Composite Fences,7,2007,Down payment assistance,Regular,109566.0,N,N,2021-07-17,54712140,"Klaus-D.-Köhler-Straße 290
11264 Wittenberg",Rudolstadt,Haiti,alangern@wagenknecht.net,F,Sachsen-Anhalt,13758,15.0,2021-12-22,1.1,2021-12-22,1.1
17,VacHomeClass-1,VacHomeZone-1,,11241,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,Cul-de-sac,No Slope,NAmes,Proximity to School,Apartment,Contemporary,6,7,1973,1978,Gable,Rolled Roofing,Wood Shingle,Natural Stone,180.0,3,3,Combined footing,3.0,No Sunlight,BrightWall Paneling,1004,Furnace,5,Yes,NM Cable,1004,0,1004,1,0,2,1,3,5,1,TA,Attached,DryWall,2,480,3,Paved,0,0,0,0,No Fence,3,2010,Down payment assistance,Regular,123676.0,N,N,2021-11-06,73864011,"Kristin-Löchel-Straße 37
82571 Wolgast",Halberstadt,Tansania,beatrix92@troest.com,Unknown,Baden-Württemberg,97034,35.0,2021-10-07,4.0,2021-10-07,4.0
18,VacHomeClass-11,VacHomeZone-1,72.0,10791,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 20,Proximity to School,Townhome,Contemporary,4,5,1971,1975,Gable,Rolled Roofing,Log Wood,Manmade Stone,0.0,3,3,Pile foundation,,,,0,Furnace,3,Yes,NM Cable,1296,0,1296,2,0,2,2,3,6,0,,Carports,Metal Panels,2,516,3,Paved,0,0,0,0,No Fence,10,2006,Down payment assistance,Regular,74706.0,Y,Y,2021-01-01,47592216,"Matthäigasse 5
39101 Hansestadttralsund",Cloppenburg,Uruguay,anniedoehn@schuster.org,M,Mecklenburg-Vorpommern,16448,90.0,2021-08-26,4.5,2021-08-26,4.5
19,VacHomeClass-1,VacHomeZone-1,66.0,13695,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 21,Proximity to Dance Club,Apartment,Contemporary,5,5,2007,2009,Gable,Rolled Roofing,Board Batten,Manmade Stone,0.0,3,3,Individual footing,3.0,No Sunlight,ZenWall Panels,1114,Furnace,5,Yes,NM Cable,1114,0,1114,1,1,3,1,4,6,0,,Detached,Metal Panels,2,576,3,Paved,0,0,0,0,No Fence,6,2008,Down payment assistance,Regular,131976.0,N,Y,2021-05-29,16050198,"Brunhilde-Steckel-Ring 7
37785 Stade",Meißen,Burkina Faso,hatzler@aol.de,Unknown,Nordrhein-Westfalen,9305,1.0,2021-04-05,3.1,2021-04-05,3.1
20,VacHomeClass-1,VacHomeZone-1,70.0,7560,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,NAmes,Proximity to School,Apartment,Contemporary,5,6,1962,1971,Sawtooth,Rolled Roofing,Vertical Wood,Manmade Stone,0.0,3,3,Combined footing,3.0,No Sunlight,Basement to Beautiful Panels,1029,Furnace,3,Yes,NM Cable,1339,0,1339,1,0,3,1,3,6,0,,Attached,Metal Panels,1,294,3,Paved,0,0,0,0,Vinyl Fences,5,2009,Reverse Mortgage,Shortsale,115376.0,N,Y,2021-12-06,33739069,"Kata-Ruppert-Ring 16
56256 Donaueschingen",Viersen,Mongolei,ynohlmans@web.de,M,Bremen,23275,5.0,2021-03-16,2.3,2021-03-16,2.3
21,VacHomeClass-6,VacHomeZone-1,101.0,14215,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,Corner lot,No Slope,RNH 16,Proximity to School,Apartment,Bungalow,8,5,2006,2009,Gable,Rolled Roofing,Board Batten,Natural Stone,380.0,4,3,Individual footing,5.0,Large Windows,Dry Wall,1158,Furnace,5,Yes,NM Cable,1158,1218,2376,3,1,4,1,4,9,1,Gd,Breezeway,Wood Sheathing,3,853,3,Paved,240,0,0,0,No Fence,11,2006,Government-backed programs,Distress Sale,270005.0,N,N,2021-09-03,50402168,"Bohlanderweg 39
91845 Miesbach",Seelow,Nigeria,beyerbernfried@gmail.com,Unknown,Sachsen-Anhalt,74735,88.0,2021-11-08,2.8,2021-11-08,2.8
22,VacHomeClass-4,VacHomeZone-2,57.0,7449,Cobblestone,Concrete,Pie,Slope,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 10,Proximity to School,Apartment,Colonial,7,7,1935,1956,Gable,Rolled Roofing,Wood Shingle,Manmade Stone,0.0,3,3,Individual footing,3.0,No Sunlight,Dry Wall,637,Furnace,5,Yes,Armored Cable,1108,0,1108,1,0,3,1,4,6,1,Gd,Attached,Metal Panels,1,280,3,Only Gravel,0,0,0,0,Composite Fences,6,2007,Down payment assistance,Regular,115708.0,Y,Y,2021-08-25,48107778,"Gröttnerring 915
87540 Erfurt",Bogen,Turks- und Caicosinseln,wolfram53@aol.de,F,Hessen,33444,7.0,2021-06-23,1.1,2021-06-23,1.1
